"All Fuel Types
All Sectors
Millions of metric tons (Mt) CO2 ",,,,,Extracting Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producing Regions,Imports of Extraction Emissions,Exports of Extraction Emissions,Total Production,Net Trade of Extraction Emissions,Australia,New Zealand,Rest of Oceania,China,Hong Kong,Japan,Korea,Taiwan,Rest of East Asia,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Philippines,Singapore,Thailand,Vietnam,Rest of Southeast Asia,Bangladesh,India,Pakistan,Sri Lanka,Rest of South Asia,Canada,United States of America,Mexico,Rest of North America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela,Rest of South America,Costa Rica,Guatemala,Nicaragua,Panama,Rest of Central America,Caribbean,Austria,Belgium,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Switzerland,Norway,Rest of EFTA,Albania,Bulgaria,Belarus,Croatia,Romania,Russian Federation,Ukraine,Rest of Eastern Europe,Rest of Europe,Kazakhstan,Kyrgyzstan,Rest of Former Soviet Union,Armenia,Azerbaijan,Georgia,"Iran, Islamic Republic of",Turkey,Rest of Western Asia,Egypt,Morocco,Tunisia,Rest of North Africa,Nigeria,Senegal,Rest of Western Africa,Rest of Central Africa,Rest of South Central Africa,Ethiopia,Madagascar,Malawi,Mauritius,Mozambique,Tanzania,Uganda,Zambia,Zimbabwe,Rest of Eastern Africa,Botswana,South Africa,Rest of South African Customs Union 
Belgium,165.88,0.68,166.79,165.20,4.98,0.01,0.01,2.22,0.00,0.00,0.00,0.00,0.01,0.02,0.53,0.00,0.05,0.00,0.00,0.00,0.12,0.01,0.00,0.21,0.00,0.00,0.05,0.37,2.19,0.30,0.01,0.03,0.00,0.07,0.00,0.81,0.04,0.00,0.00,0.00,3.48,0.02,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.91,0.00,0.01,0.98,0.02,0.01,0.06,1.73,0.00,0.00,0.00,0.04,0.00,0.01,0.00,0.00,8.39,0.54,0.00,0.00,0.00,0.01,0.01,23.16,0.00,36.68,0.01,0.00,0.00,0.05,0.00,0.00,48.44,0.20,0.00,0.02,0.73,0.00,0.15,0.00,0.06,0.00,1.01,0.00,6.27,0.33,0.00,0.05,13.25,0.43,0.00,0.03,0.12,0.19,0.00,0.21,0.08,0.27,0.00,0.00,0.34,0.00,0.00,0.05,0.00,6.11,0.16
Cyprus,8.09,0.00,8.10,8.09,0.14,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.01,0.00,0.00,0.00,0.62,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.06,0.00,0.00,0.01,0.00,0.01,0.14,0.96,0.08,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,0.70,0.01,3.98,0.35,0.00,0.02,0.37,0.11,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.00
Czech Republic,45.88,15.08,120.55,30.79,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.05,0.02,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,74.67,0.05,0.00,0.00,0.00,0.18,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.01,3.95,0.00,0.19,0.00,0.00,0.00,0.24,0.00,0.81,0.00,0.00,0.00,0.00,0.01,0.01,33.40,0.19,0.00,0.01,0.84,0.00,0.08,0.00,3.07,0.00,0.08,0.00,1.02,0.01,0.00,0.01,1.11,0.13,0.00,0.02,0.01,0.01,0.00,0.02,0.01,0.02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.01
Denmark,29.56,56.86,55.73,-27.30,0.84,0.00,0.00,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.39,0.04,0.00,0.00,0.00,0.01,0.00,2.40,0.01,0.00,0.00,0.00,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,26.17,0.00,0.01,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,1.86,0.00,0.00,0.00,0.00,0.04,0.43,0.00,6.84,0.00,0.00,0.00,0.04,0.00,0.00,7.40,0.02,0.00,0.00,0.21,0.00,0.01,0.00,0.01,0.00,0.25,0.00,0.68,0.01,0.00,0.00,0.12,0.03,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,5.21,0.00
Estonia,5.70,0.23,16.12,5.48,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,10.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.00,0.00,0.00,0.11,0.00,0.00,5.08,0.01,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finland,70.88,0.33,79.02,70.55,2.05,0.00,0.01,0.13,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.51,1.22,0.15,0.00,0.01,0.00,0.01,0.00,0.03,0.02,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,3.96,0.03,8.15,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,6.23,0.00,0.00,0.00,0.00,0.01,0.37,0.00,3.99,0.00,0.00,0.00,0.02,0.00,0.00,48.59,0.03,0.00,0.00,2.02,0.00,0.01,0.00,0.14,0.00,0.11,0.00,0.41,0.01,0.00,0.00,0.15,0.10,0.00,0.01,0.03,0.04,0.00,0.02,0.01,0.03,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.04,0.02
France,404.43,0.87,412.72,403.56,12.85,0.00,0.05,2.09,0.00,0.00,0.00,0.00,0.02,0.03,2.01,0.00,0.21,0.00,0.00,0.01,0.20,0.03,0.00,0.14,0.00,0.00,0.19,1.13,6.23,1.20,0.01,0.07,0.00,0.65,0.00,6.16,0.11,0.00,0.00,0.00,2.67,0.00,0.00,0.01,0.00,0.00,0.00,1.69,0.00,0.08,0.00,0.02,4.39,0.02,0.00,8.29,1.00,0.00,0.01,0.00,0.24,0.00,0.04,0.00,0.00,0.38,2.71,0.00,0.00,0.00,0.04,0.02,18.48,0.00,49.97,0.02,0.00,0.05,0.46,0.01,0.04,144.00,0.36,0.00,0.01,15.63,0.00,0.28,0.00,1.63,0.00,13.29,0.02,52.61,1.15,0.00,0.87,32.86,8.21,0.00,0.11,1.62,6.86,0.00,0.21,0.08,0.27,0.00,0.00,0.34,0.00,0.00,0.05,0.00,8.06,0.16
Germany,631.70,8.95,909.50,622.75,14.34,0.00,0.10,3.07,0.00,0.00,0.00,0.00,0.11,0.06,4.48,0.02,0.42,0.00,0.00,0.01,0.46,0.07,0.00,0.04,0.00,0.00,2.80,5.07,5.49,0.68,0.02,0.47,0.07,0.27,0.00,15.60,0.07,0.00,0.00,0.00,2.68,0.01,0.00,0.00,0.00,0.00,0.01,0.33,0.27,0.10,0.00,1.79,11.25,0.00,0.05,0.08,277.80,0.00,0.13,0.00,0.11,0.00,0.01,0.00,0.00,43.40,16.70,0.00,0.02,0.00,0.03,0.03,39.24,0.00,177.54,0.04,0.00,0.01,0.08,0.02,0.01,143.57,0.38,0.00,0.03,27.48,0.00,5.70,0.00,2.64,0.00,3.97,0.03,32.06,2.71,0.00,0.80,37.80,3.25,0.00,0.08,0.43,0.30,0.00,0.30,0.11,0.38,0.00,0.00,0.46,0.00,0.00,0.08,0.00,21.18,0.22
Greece,72.93,0.31,107.28,72.62,0.07,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.01,0.25,0.00,0.02,0.00,0.00,0.00,0.01,0.01,0.00,0.25,0.00,0.00,0.01,0.77,0.63,0.20,0.00,0.01,0.00,0.02,0.00,0.07,0.03,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.06,0.00,0.00,0.01,0.02,34.35,0.01,0.00,0.15,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.72,0.00,0.00,0.03,0.00,0.00,0.69,15.86,0.29,0.00,0.02,0.54,0.00,0.70,0.00,0.65,0.00,17.60,0.06,24.75,0.35,0.00,0.03,5.33,0.51,0.00,0.05,0.08,0.08,0.00,0.06,0.03,0.09,0.00,0.00,0.10,0.00,0.00,0.01,0.00,0.09,0.05
Hungary,45.21,1.30,64.94,43.90,0.17,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,1.35,0.01,0.00,0.00,0.00,0.02,0.00,19.73,0.00,0.01,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.02,0.00,0.00,0.00,0.05,0.00,0.09,0.00,0.00,0.00,0.17,0.01,0.11,38.82,0.26,0.00,0.04,0.76,0.00,1.34,0.00,0.07,0.00,0.05,0.00,0.24,0.00,0.00,0.01,0.15,0.06,0.00,0.00,0.01,0.01,0.00,0.02,0.01,0.02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.01
Ireland,42.33,0.04,46.98,42.29,1.74,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.34,0.11,0.00,0.01,0.00,0.02,0.00,2.28,0.01,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.01,0.03,0.00,0.00,4.65,0.00,0.00,0.01,0.00,0.00,0.03,1.04,0.00,0.00,0.00,0.00,0.00,16.55,0.00,11.88,0.00,0.00,0.00,0.02,0.00,0.00,3.69,0.01,0.00,0.00,0.11,0.00,0.02,0.00,0.01,0.00,0.14,0.00,0.57,0.04,0.00,0.01,0.50,0.09,0.00,0.00,0.07,0.03,0.00,0.01,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,1.21,0.01
Italy,448.76,3.67,495.00,445.09,7.73,0.00,0.05,3.05,0.00,0.00,0.00,0.00,0.03,0.04,8.00,0.00,0.17,0.00,0.00,0.01,0.09,0.06,0.00,0.28,0.00,0.00,0.04,1.47,5.90,0.51,0.01,0.15,0.04,0.44,0.00,9.54,0.07,0.00,0.00,0.00,3.52,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.04,0.02,0.00,0.04,0.49,0.00,0.00,0.09,0.14,0.01,0.02,0.00,46.24,0.00,0.00,0.00,0.00,12.15,0.25,0.00,0.00,0.01,0.01,0.00,2.27,0.00,27.91,0.02,0.00,0.07,0.06,0.53,0.40,66.64,2.10,0.00,0.02,10.89,0.00,3.60,0.00,8.98,0.00,20.88,0.23,51.31,3.77,0.00,2.36,161.22,4.26,0.00,3.40,3.51,0.86,0.00,0.19,0.08,0.26,0.00,0.00,0.32,0.00,0.00,0.12,0.00,17.61,0.15
Latvia,8.53,0.01,8.55,8.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.09,0.00,0.00,0.00,0.28,0.00,0.00,7.84,0.09,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Lithuania,13.71,0.59,14.10,13.13,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.14,0.00,0.00,13.39,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Luxembourg,13.45,0.00,14.08,13.44,0.20,0.00,0.02,0.41,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.00,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.05,0.11,0.02,0.00,0.08,0.01,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.19,0.00,0.01,0.36,0.00,0.00,0.02,0.19,0.00,0.00,0.00,0.01,0.00,0.00,0.64,0.00,0.09,0.05,0.00,0.00,0.00,0.00,0.00,1.06,0.00,2.45,0.01,0.00,0.00,0.03,0.00,0.00,4.53,0.08,0.00,0.00,0.28,0.00,0.15,0.00,0.22,0.00,0.27,0.00,0.37,0.25,0.00,0.04,0.82,0.04,0.00,0.01,0.02,0.01,0.00,0.04,0.01,0.02,0.00,0.00,0.03,0.00,0.00,0.01,0.00,0.23,0.01
Malta,3.02,0.00,3.02,3.02,0.02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.00,0.24,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.19,0.00,0.00,0.02,0.00,0.00,0.00,0.68,0.02,0.00,0.01,0.06,0.00,0.00,0.00,0.15,0.00,0.14,0.00,0.43,0.22,0.00,0.01,0.31,0.08,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
Netherlands,268.60,67.51,364.33,201.08,5.46,0.00,0.01,1.80,0.00,0.00,0.00,0.00,0.02,0.02,2.00,0.00,0.23,0.00,0.00,0.01,0.08,0.02,0.00,0.04,0.00,0.00,0.07,0.98,4.71,1.16,0.01,0.10,0.00,0.45,0.00,6.70,0.15,0.00,0.01,0.00,2.51,0.01,0.00,0.01,0.00,0.00,0.00,0.34,0.01,0.10,0.00,0.03,7.40,0.01,0.01,0.10,1.46,0.00,0.01,0.00,0.07,0.00,0.06,0.00,0.00,95.73,0.54,0.00,0.00,0.00,0.03,0.02,20.45,0.00,48.74,0.02,0.00,0.00,0.03,0.01,0.01,94.11,0.09,0.00,0.02,2.79,0.00,0.15,0.00,0.28,0.00,3.78,0.03,30.90,2.03,0.00,0.27,14.11,1.24,0.00,0.07,0.50,0.50,0.00,0.13,0.05,0.16,0.00,0.00,0.20,0.00,0.04,0.04,0.00,11.00,0.10
Poland,76.22,51.65,295.36,24.57,0.05,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.08,0.04,0.00,0.00,0.00,0.01,0.00,0.16,0.01,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,1.56,0.34,0.00,0.00,0.00,0.18,0.00,0.04,0.00,0.01,0.00,0.07,0.00,0.00,0.01,219.15,0.00,0.04,0.00,0.00,0.01,0.30,0.00,1.44,0.00,0.00,0.00,0.57,0.00,0.00,60.89,0.79,0.00,0.00,6.78,0.00,1.46,0.00,0.08,0.00,0.11,0.00,0.34,0.01,0.00,0.01,0.25,0.05,0.00,0.01,0.01,0.02,0.00,0.04,0.02,0.06,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.03,0.04
Portugal,65.50,0.02,65.75,65.48,0.75,0.00,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.57,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.01,0.02,1.18,2.20,0.00,0.01,0.00,1.89,0.00,6.71,0.01,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.16,0.00,0.00,0.01,0.07,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.04,0.02,0.25,0.00,0.00,0.06,0.00,2.32,0.00,3.64,0.00,0.00,0.00,0.03,0.00,0.00,7.09,0.02,0.00,0.00,3.71,0.00,0.05,0.00,0.08,0.01,1.41,0.00,6.12,0.12,0.00,0.03,11.51,10.45,0.00,0.30,0.44,0.05,0.00,0.03,0.01,0.04,0.00,0.00,0.05,0.00,0.00,0.00,0.00,3.74,0.03
Slovakia,35.90,0.44,38.88,35.46,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,5.03,0.00,0.00,0.00,0.00,0.01,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.52,0.00,2.98,0.00,0.00,0.00,0.02,0.00,0.05,0.00,0.00,0.00,0.04,0.01,0.00,22.14,0.34,0.00,0.00,1.53,0.00,2.16,0.00,0.05,0.00,0.02,0.00,0.12,0.00,0.00,0.00,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.01
Slovenia,11.65,0.07,16.16,11.58,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.02,0.00,0.00,0.00,0.01,0.00,0.49,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.06,0.02,0.00,0.00,0.01,0.02,0.00,0.19,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,4.51,0.00,0.00,0.08,0.00,0.27,0.00,0.00,0.00,0.00,0.11,0.21,5.38,0.09,0.00,0.02,0.36,0.00,0.01,0.00,0.42,0.00,0.34,0.00,0.92,0.03,0.00,0.03,1.06,0.08,0.00,0.05,0.05,0.03,0.00,0.02,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.06,0.00
Spain,328.30,0.56,354.86,327.74,11.35,0.00,0.03,0.55,0.00,0.00,0.00,0.00,0.01,0.02,2.83,0.00,0.27,0.00,0.00,0.01,0.07,0.02,0.00,0.01,0.00,0.00,0.04,1.14,5.31,21.78,0.01,0.15,0.01,0.41,0.00,2.85,0.15,0.00,0.12,0.00,3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.02,0.00,0.01,0.96,0.00,0.00,0.05,0.23,0.00,0.01,0.00,0.83,0.00,0.01,0.00,0.00,0.15,0.82,0.00,0.00,0.00,26.56,0.03,3.41,0.00,19.68,0.02,0.00,0.01,0.21,0.01,0.09,47.67,0.78,0.00,0.02,6.15,0.00,1.62,0.00,0.74,0.08,8.68,0.03,49.26,0.98,0.00,1.46,55.25,39.30,0.00,0.70,9.06,1.98,0.00,0.15,0.06,0.21,0.00,0.01,0.25,0.00,0.00,0.02,0.00,26.46,0.12
Sweden,54.91,0.33,56.30,54.58,3.59,0.00,0.01,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.95,0.07,0.00,0.01,0.00,0.01,0.00,0.05,0.01,0.00,0.00,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,12.58,0.03,0.09,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.59,0.00,0.00,0.00,0.00,1.39,2.12,0.00,13.64,0.00,0.00,0.00,0.13,0.00,0.00,15.23,0.01,0.00,0.00,0.24,0.00,0.01,0.00,0.01,0.00,2.43,0.00,0.66,0.01,0.00,0.01,0.16,0.08,0.00,0.01,0.09,0.04,0.00,0.03,0.01,0.05,0.00,0.00,0.06,0.00,0.00,0.01,0.00,0.04,0.03
United Kingdom,239.70,195.37,649.92,44.34,14.93,0.01,0.05,1.71,0.00,0.00,0.00,0.00,0.05,0.02,3.39,0.01,0.17,0.00,0.00,0.02,0.11,0.02,0.00,0.19,0.00,0.00,0.04,1.62,5.53,1.30,0.01,0.15,0.01,0.21,0.00,7.31,0.07,0.00,0.00,0.00,3.52,0.01,0.00,0.00,0.00,0.00,0.00,0.22,0.02,0.06,0.00,0.03,1.48,0.06,0.02,0.08,0.30,0.00,0.01,0.03,0.09,0.00,0.00,0.00,0.00,0.43,2.44,0.00,0.00,0.00,0.03,0.02,410.21,0.00,85.19,0.01,0.00,0.00,0.24,0.01,0.00,44.21,0.31,0.00,0.01,1.19,0.00,0.22,0.00,0.14,0.00,1.31,0.01,21.12,0.70,0.00,0.15,5.76,1.07,0.00,0.05,0.92,0.30,0.00,0.07,0.02,0.07,0.00,0.00,0.09,0.00,0.00,0.04,0.00,30.66,0.04
Switzerland,47.80,0.08,47.98,47.73,0.11,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.14,0.04,0.00,0.01,0.00,0.02,0.00,0.09,0.01,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.20,0.00,0.00,0.02,0.35,0.00,0.00,0.00,0.09,0.00,0.07,0.00,0.00,0.30,0.04,0.00,0.00,0.00,0.00,0.00,0.79,0.18,1.87,0.00,0.00,0.00,0.02,0.00,0.00,23.41,1.25,0.00,0.00,11.98,0.00,0.07,0.00,0.09,0.00,0.61,0.00,1.38,0.03,0.00,0.03,2.92,0.21,0.00,0.37,0.17,0.06,0.00,0.02,0.01,0.02,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.16,0.01
Norway,5.31,631.35,60.75,-626.04,0.07,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.24,0.07,0.00,0.02,0.00,0.01,0.00,0.16,0.01,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.24,0.00,0.00,0.00,0.00,0.02,0.64,0.00,55.44,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.01,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.24,0.01,0.00,0.00,0.12,0.05,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.00
Rest of EFTA,3.74,0.62,5.54,3.13,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.08,0.00,1.56,1.80,0.00,0.00,0.00,0.00,0.00,0.81,0.02,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.10,0.00,0.00,0.00,0.09,0.01,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00
